cleaned_text,kfold,target
hot live fantasi min ntt ltd box croydon nation rate,0,1
case wake wonder forget care grandma today parad,0,0
sen kind advic come tri,0,0
studi anyon help cant need studi,0,0
sister clear round birla soft yesterday,0,0
sorri later bye,0,0
die man feel sad want know probabl late night,0,0
reach home tire come tomorro,0,0
okay thank clarif,0,0
pattern emerg friend tell drive come smoke tell weed fiend smoke imped thing hesit,0,0
good studi,0,0
think dinner treat,0,0
messag miss,0,0
hello flat need arrang pick lamp etc care hello carolin,0,0
nice readi thursday,0,0
dont restrict eat anythin like day,0,0
sorri join leagu peopl dont touch mean great deal friend time great person cost great week,0,0
yahoo boy bring perf legal,0,0
urgent attempt contact prize yesterday await collect claim aclpm,0,1
drop omw,0,0
chillaxin,0,0
god pick flower dippeditinadew lovingli touch itwhichturnedinto gift tomeandsaid friend,0,0
help tell sura expect batteri hont send messag download movi thank,0,0
yup thanx,0,0
past train durham coz reserv seat,0,0
home love awak love kiss,0,0
gandhipuram walk cross cut road right street road turn right,0,0
start search job day great potenti talent,0,0
free entri weekli comp send word enter www textcomp com cust care,0,1
tht wat wright brother fli,0,0
minor shindig place later tonight interest,0,0
design softwar develop chennai,0,0
decid wot bday ill prob voucher frm virgin sumf,0,0
bold torch later torch bold,0,0
god teeth pain,0,0
love law happi person love way friendship law friend feel aliv gud night,0,0
fine bud night,0,0
happi birthday dear lot love rakhesh nri,0,0
oki,0,0
work,0,0
aight text,0,0
blank blank wat blank lol,0,0
didnt know mean yep babi jontin,0,0
home doc pain med fine,0,0
wait come min,0,0
gobi art colleg,0,0
happen,0,0
cri stuff happen push edg underdtand cri sorri sorri life,0,0
great hear settl happenin wit ola,0,0
sir hope day smoothli hop wont bother bill settl month extra cash know challeng time let know,0,0
lov line hurt truth mind wil tolerat comfort lie gud sweet dream,0,0
leav class babe come hope nice sleep love,0,0
feb love day send valu frnd evn come marri person luv ignor lose luv evr,0,0
hello peach cake tast lush,0,0
kaiez enjoy tuition gee thk second option sound beta yan jiu den msg,0,0
moan thin wrong fault argument fault feed himso bother hav thanx,0,0
custom servic repres win guarante cash prize,0,1
themob check newest select content game tone gossip babe sport mobil fit funki text wap,0,1
gud gud chikku tke care sleep gud nyt,0,0
good morn suffer fever dysentri abl come offic today,0,0
dear good morn,0,0
come dinner rite dad ask confirm wif,0,0
work,0,0
wipro interview today,0,0
alfi moon children need song mob tell txt tone chariti nokia poli chariti poli zed profit chariti,0,1
team wait player,0,0
famili respond room home diwali come feel like die,0,0
howz pain hope fine,0,0
okay sorri,0,0
tiwari rcb battl bang kochi,0,0
dear look hug,0,0
dear xxxxxxx invit xchat final attempt contact txt chat msgrcvdhg suit land row wjhl ldn,0,1
confus thing doesn,0,0
privat account statement redeem point identifi code expir,0,1
lor decid,0,0
happi babe woo hoo parti dude,0,0
good morn plz sir,0,0
sign matur start big thing actual start understand small thing nice bslvyl,0,0
cant pick phone right send messag,0,0
exactli far jide studi visit,0,0
batteri adewal uncl aka egbon,0,0
symptom love like listen song stop belov angri,0,0
urgent guarante award unclaim closingd claimcod pmmorefrommobilebremov mobypoboxlsyf,0,1
stop stori tell return order,0,0
waaaat lololo time,0,0
miss caus yell scrappi miss wait come home lone today,0,0
hey gym,0,0
thank lot wish birthday thank birthday truli memor,0,0
lazi type forget lect saw pouch like nice,0,0
pick receipt earlier,0,0
thanx puttin fone,0,0
frnd neces life imagin urself witout frnd feel colleg wat wth cell wat abt function thnk abt event esp care miss irrit wrd dear love frnd wthout cant live jst takecar goodmorn,0,0
yun buy school offer plu,0,0
situat gurl appropri,0,0
sport fan latest sport news str mobil free plu free tone txt sport www getz norm txt,0,1
chanc realiti fantasi min ntt ltd box croydon nation rate,0,1
messag text miss sender miss number miss send date miss miss lot miss send fullonsm com,0,0
thk shd plu minu leav line paragraph,0,0
dunno close oredi fan,0,0
man slow think gon,0,0
hip hop open haha think jazz zoom cine actual tonight free leh lesson tonight,0,0
happi new year melodi,0,0
winner guarante caller prize final attempt contact claim ppmpoboxbhambx,0,1
think stop like hour roommat look stock trip,0,0
ask knw frnd classmat,0,0
gal boy walk park gal hold hand boy think run away gal jst wana feel walk heaven princ,0,0
ask wana meet,0,0
tot reach liao shirt,0,0
mobil add contact list www fullonsm com great place send free peopl visit fullonsm com,0,0
cmon babe horni turn txt fantasi babe hot sticki need repli cost cancel send stop,0,1
omg want scream weigh lose weight woohoo,0,0
thkin goin yogasana den den rush parco oki lor readi,0,0
think watch kind thing getanth love,0,0
ree entri weekli comp chanc win ipod txt pod entri std txt rate appli detail,0,1
free ice cream oso wan,0,0
great safe trip dont panic surrend,0,0
rounder requir,0,0
text phone problem,0,0
join today formal pray talk later,0,0
wen lovabl bcum angri wid dnt coz angri childish true way deep affect care luv kettoda manda nice day,0,0
haha kid papa need drug,0,0
movi laptop,0,0
think week,0,0
guarante latest nokia phone ipod player prize txt word collect ibhltd ldnwh mtmsgrcvd,0,1
tell ask wat matter,0,0
prashanthettan mother pass away night pray famili,0,0
confirm time collect chequ,0,0
nope ayo travel forget guy,0,0
shit shock scari cant imagin second def night think crash night save taxi,0,0
today meet,0,0
goin nite,0,0
hello love day alright think sweet send jolt heart remind love hear scream sea world hear ahmad hallaq love possess passion kiss,0,0
cheer callin babe sozi culdnt talkbut wannatel detail later wenwecan chat properli,0,0
heart love mind wisdom eye dream life frnd alwi touch good night sweet dream,0,0
yup thk teacher face look longer darren ask cut short,0,0
hope alright babe worri felt bite despar learn job fake wait come love,0,0
guarante latest nokia phone ipod player prize txt word collect ibhltd ldnwh mtmsgrcvd,0,1
pay decim lakh,0,0
meh,0,0
special today,0,0
babe home wan,0,0
urgent mobil number award prize guarante land line claim valid ppm,0,1
time dont like fun,0,0
reach offic decim mobil problem voic asa free,0,0
new tone week includ mcfli sara jorg shock smith switch order follow instruct messag,0,1
omw tampa west palm hear happen,0,0
beliv come home,0,0
speak maneesha like know satisfi experi repli toll free,0,0
lor,0,0
probabl come everybodi right,0,0
wisdom teeth hide insid mayb need remov,0,0
win guarante award cashto claim award free stop getstop php,0,1
aiyar poor thing support jia think,0,0
tell headach want use hour sick time,0,0
ummmmmaah happi return day dear sweet heart happi birthday dear,0,0
free week entri textpod chanc win ipod cash txt vpod www textpod net custcar,0,1
aight pick open tonight,0,0
okay book includ bugi,0,0
caus outag conserv energi,0,0
nokia phone lovli,0,0
congrat mobil videophon videochat wid mat play java game dload polyph music nolin rentl,0,1
daddi,0,0
babe thank come didnt want bed hope soon love kiss xxx,0,0
know ask date servic contact cant guess reveal pobox lshb,0,1
paint wall,0,0
wife know time murder exactli,0,0
oki,0,0
good word word leav dismay time,0,0
sorri abl morn,0,0
thank,0,0
owl lick,0,0
train northampton afraid stay skyve today wednesday fanci comedi club week way,0,0
date servic cal boxskch,0,1
want join later meet class,0,0
yar lor wan hors race today mah eat earlier lor eat chicken rice,0,0
yeah random dude need chang info sheet parti studi safe,0,0
way railway,0,0
spoil bed,0,0
nervou,0,0
dun need use dial juz open browser surf,0,0
lunch,0,0
directli abt row,0,0
test,0,0
yesterday home,0,0
cool like photo sexi,0,0
funni lor wat shd haf run shorter distanc wat,0,0
yup,0,0
major role commun outreach rock mel,0,0
tri lose fact tee hee,0,0
lousi sleep wake hour cat want come worri cold,0,0
pleas charg mobil morn,0,0
want xma free text messag new video phone half price line rental free find,0,1
greatest test courag earth bear defeat lose heart,0,0
mind blastin tsunami occur rajnik stop swim indian ocean,0,0
leav wif lar wan carri meh heavi num familiar,0,0
send home lor readi,0,0
new theori argument win situat lose person dont argu friend kick correct,0,0
lot sick thing round easi hope feel better soon lol,0,0
come sec somebodi want,0,0
problem taxi ing tomorrow tuesday tuesday think cinema,0,0
ola mayb today tell direct link car bid onlin arrang ship cut partnership invest money ship care rest wud self reliant soon dnt worri,0,0
actual time bed long speak wake night,0,0
wow love sooo know bare stand wonder day love think miss,0,0
crucifi tell earlier,0,0
yeah probabl earlier,0,0
review fantast nokia gage game deck club nokia www cnupdat com newslett unsubscrib alert repli word,0,1
peopl special sight remain special till sight maintain till life end,0,0
haf enuff space like,0,0
imagin final sink bath pace mayb eat leav imagin feel cage cock surround bath water remind enjoy cuck,0,0
supervisor find lor thk student havent ask tell aft ask,0,0
miss havent bite bore holiday want bak colleg sad isnt,0,0
hello thanx job start monday,0,0
expect text hope tomo,0,0
brand new mobil phone agent mob plu load goodi info text mat,0,1
normal use drink water daili,0,0
sorri later,0,0
honeymoon outfit,0,0
great princess think,0,0
orang bring rington time chart hero free hit week rington pic wap stop receiv tip repli stop,0,1
princess,0,0
prabha soryda reali frm heart sori,0,0
btw tri guy commit random dude,0,0
sorri vikki watch olav mandara movi kano trishul theatr wit frnd,0,0
pick point,0,0
nope talk greet,0,0
meet lobbi,0,0
step outta way congrat,0,0
come wenev lik come tel vikki come free time,0,0
prob hon doinat,0,0
dont search love let love find fall love bcoz dont forc fall know smeon hold bslvyl,0,0
sorri later,0,0
yeah class,0,0
thank rington order refer number mobil charg tone arriv custom servic colour red text colour txtstar,0,1
doin babi girl hope okay time ure phone miss touch,0,0
accept day beg chang number,0,0
need,0,0
fine complet cours,0,0
love aathi love lot,0,0
hot live fantasi min ntt ltd box croydon nation rate,0,1
takin linear algebra today,0,0
know cheesi song frosti snowman,0,0
cash balanc current pound maxim cash send collect msg box tcr,0,1
readi inch pleasur,0,0
dont search love let love find fall love bcoz dont forc fall know smeon hold bslvyl,0,0
mayb book tomo return immedi,0,0
yeah wors,0,0
winner valu network custom select receivea prize reward claim claim code valid hour,0,1
hello damn christma thing think decid doesnt work,0,0
rumour buy apart chennai,0,0
tick tick tick babe,0,0
thank honey hear leav bite longer crowd tri later great advic thank hope cardiff,0,0
dear xxxxxxx invit xchat final attempt contact txt chat msgrcvdhg suit land row wjhl ldn,0,1
tell shola colleg medicin visit academ depart tell academ secretari current situat ask transfer ask check sagamu thing lautech vital complet medic educ nigeria expens expens citizen rat new zealand,0,0
night end day morn come special way smile like sunni ray leav worri blue blue bay gud mrng,0,0
buy egg,0,0
joy father john john joy father hav question tri answer,0,0
aah cuddl lush need lot tea soup kind fumbl,0,0
amaz quot sometim life difficult decid wrong lie bring smile truth bring tear,0,0
bag,0,0
bed prin,0,0
trip postpon stock,0,0
buck jay noncomitt,0,0
hear week,0,0
haha good hear offici pay market,0,0
wat email,0,0
msg offic,0,0
feel sleepi today shall dear,0,0
regist optin subscrib draw gift voucher enter receipt correct bbc chart,0,1
ugh wan bed warm,0,0
umma ask vava come tell play later,0,0
aww nearli dead jez iscom todo workand whilltak forev,0,0
best congrat,0,0
dun need pick,0,0
differ style,0,0
sparkl shop break person visit www shortbreak org,0,1
kate hope tomorrow bite bloodi babyjontet txt xxx,0,0
cant tri new invent fli joke,0,0
slow poo,0,0
alrit jod revis goin keri bin doin smidgin way wan cum colleg,0,0
happi new year dear brother miss number decid send text wish happi abiola,0,0
favorit oyster favorit sashimi lar dun wait stomach start rumbl,0,0
whatsup dont want sleep,0,0
alright tyler minor crisi home sooner think asap,0,0
thing bigger,0,0
hmm unfortun pic obvious arent hot cake kinda fun tho,0,0
wast den muz chiong sit sun liao,0,0
thank skype wit sura didnt pleasur compani hope good ultimatum countin aburo enjoy,0,0
win cash prize claim rstm ppm,0,1
love littl poci bell sorri love,0,0
ill send decim,0,0
time tri contact win pound prize claim easi min nation rate,0,1
convey regard,0,0
free unlimit hardcor porn direct mobil txt porn free access chrgd day txt stop exit msg free,0,1
great send account number,0,0
roommat want dubsack friend want plan bring extra tell know sure,0,0
posibl dnt live centuri frwd thnk differ,0,0
fine absolutli fine,0,0
brother like speak treat like aid patent,0,0
alrit,0,0
freemsg txt claim reward hour talk time use phone subscribegbp mnth inc stop txtstop,0,1
night end day morn come special way smile like sunni ray leav worri blue blue bay gud mrng,0,0
know ask date servic contact cant guess reveal box,0,1
sunshin quiz wkli win soni dvd player know countri algarv txt ansr tyron,0,1
good sleep rhythm person establish rhythm bodi learn use want know,0,0
dont thnk wrong,0,0
chanc win free bluetooth headset simpli repli adp,0,1
rememb day,0,0
winner special select receiv cash holiday flight inc speak live oper claim,0,1
balanc question complet landmark big bob barri ben text good luck,0,1
dear voucher holder claim week offer http www wtlp text appli,0,1
frnd juz word mere relationship silent promis wherevr whenevr forevr gudnyt dear,0,0
poyyarikatur kolathupalayam unjalur post erod,0,0
best exam later,0,0
futur plan tomorrow result today best present enjoy futur,0,0
oop bite,0,0
shuhui buy ron present swatch watch,0,0
town,0,0
good morn london treatin treacl,0,0
privat account statement redeem point identifi code expir,0,1
free week nokia tone mobil week txt nokia txting tell mat www getz pobox wwq normp tone,0,1
privat account statement redeem point identifi code expir,0,1
yeah probabl check leo,0,0
fanci shag interest sextextuk com txt xxuk suzi txt cost msg tnc websit,0,1
night warm bath drink cup milk work magic need loos weight know,0,0
plm come way,0,0
glad talk,0,0
bite better eat smth feel guilti,0,0
haha awesom need doin tonight,0,0
mind round trip bar sudden influx cash,0,0
yan jiu liao sit bugi vill frm den hop parco sun cine frm den hop orc mrt hip hop,0,0
let noe leav hous,0,0
fuck juswok bed boatin dock sleep wid year old spinout giv gossip xxx,0,0
dear voucher holder claim class airport loung pass holiday voucher book quot class,0,1
tri find chines food place,0,0
wow boy tour win vip ticket pre book vip club txt club trackmarqu ltd info vipclubu,0,1
fuck chicken messag late woould buzz hear word,0,0
didnt holla,0,0
work time,0,0
spook mob halloween collect logo pic messag plu free eeri tone txt card spook zed logo pic,0,1
regret inform mistak actual bear pleas report yor local hospit termin sorri inconveni,0,0
xma reward wait comput randomli pick loyal mobil custom receiv reward,0,1
person survey,0,0
half year miss friendship,0,0
durban number,0,0
yeah hav great time newquay send postcard look girl know talkin bout,0,0
advanc happi pongal,0,0
good hear,0,0
pop loo hello hello,0,0
blame day life good day happi bad day experi essenti life god bless good morn,0,0
leav start prepar,0,0
hey quit soon xuhui work till end month,0,0
offic,0,0
shall fine avalarr hollalat,0,0
opinion jada kusruthi lovabl silent spl charact matur stylish simpl repli,0,0
hope great new semest wish best great,0,0
gibb unsold mike hussey,0,0
chicken broth want ramen know,0,0
goodmorn today late decim min,0,0
mmm fuck merri christma,0,0
anybodi number think tact way ask alex,0,0
wondarful song,0,0
miss,0,0
actual sleep text rock send text wen wake,0,0
wat late earli mah juz dinner lor aiya dunno,0,0
bite smile hppnss drop tear sorrow heart life heart like wil care forevr goodfriend,0,0
dear mood cant drive brother drive,0,0
takin shower yeah leav,0,0
cool want,0,0
thing chang sentenc becaus want concentr educ career leav,0,0
jess dont know work home eve xxx,0,0
ranjith cal drpd deeraj deepak min hold,0,0
hour lucki,0,0
watch lor nice like lor,0,0
oredi,0,0
doubl evict week spiral michael good riddanc,0,0
favourit person today workin hard sleep nite nearli ring,0,0
good morn boytoy yummi lip sexi bun think crave need,0,0
cant pick phone right send messag,0,0
shoot big load readi,0,0
chanc claim worth discount voucher today text shop savamob offer mobil savamob pobox muz sub,0,1
wake afternoon sup,0,0
dear chechi,0,0
mmmmmm love ahmad wait year begin second closer happi new year love,0,0
nice wait text right gon pay ticket know,0,0
hello saturday text decid tomo tri invit,0,0
good afternoon love day sleep hope boytoy think,0,0
buzi,0,0
yay wait parti,0,0
gym love smile hope good day babe miss,0,0
wont beliv god jesu,0,0
dude friend afraid,0,0
select stay british hotel holiday worth claim london swss,0,1
join horniest dog servic sex nite sign follow instruct txt entri nyt eca msg,0,1
thank princess sexi,0,0
hey forget possess properti mmm childish smile,0,0
luv soo donaot understand special ring morrow luv xxx,0,0
probabl earlier station think,0,0
kinda aah speak tomo,0,0
